"tau","label","beta"
12.35,"home",0.00183785167200047
12.4,"home",0.00177834483628163
12.45,"home",0.00172066765187846
12.5,"home",0.00166476747447621
12.55,"home",0.00161059304176854
12.6,"home",0.00155809444203659
12.65,"home",0.00150722308326143
12.7,"home",0.00145793166276805
12.75,"home",0.00141017413739871
12.8,"home",0.00136390569421316
12.85,"home",0.00131908272171282
12.9,"home",0.00127566278158593
12.95,"home",0.00123360458097003
13,"home",0.0011928679452283
